##,Player,GP,GS,Min,MinAvg,FG,FGA,FGPct,3FG,3FGA,3Pct,FT,FTA,FTPct,Off,Def,Tot,FoulAvg,PF,FO,A,TO,Blk,Stl,Pts,PtsAvg
3,"WILLIAMS, Johnathan",6,6,172,28.6,31,54,0.574,1,4,0.25,10,19,0.526,8,44,52,8.6,10,0,8,16,5,8,73,12.2
35,"TURIAF, Ronny",9,6,222,24.7,39,90,0.433,0,0,0,32,49,0.653,27,47,74,8.2,24,0,8,9,18,8,110,12.2
22,"STANFORD, Matt",7,4,174,24.9,30,58,0.517,7,13,0.538,16,28,0.571,11,16,27,3.9,20,1,15,11,1,5,83,11.9
13,"GOSS, Geoff",8,7,265,33.1,27,53,0.509,3,9,0.333,37,43,0.86,7,24,31,3.9,23,1,38,32,0,13,94,11.8
33,"VIOLETTE, Cory",9,5,221,24.6,41,70,0.586,0,3,0,23,31,0.742,19,40,59,6.6,19,1,6,7,6,9,105,11.7
5,"DAYE, Austin",4,2,93,23.3,17,32,0.531,4,10,0.4,8,12,0.667,1,25,26,6.5,7,0,4,9,7,4,46,11.5
4,"PANGOS, Kevin",10,10,361,36.1,35,91,0.385,17,48,0.354,28,35,0.8,3,29,32,3.2,27,1,31,20,1,14,115,11.5
21,"ROGERS, Paul",6,6,183,30.5,25,46,0.543,1,1,1,18,30,0.6,11,34,45,7.5,18,1,6,17,7,1,69,11.5
24,"KARNOWSKI, Przemek",11,9,243,22.1,48,78,0.615,0,0,0,29,46,0.63,14,51,65,5.9,15,0,13,20,12,6,125,11.4
24,"FRAHM, Richie",10,9,293,29.3,35,93,0.376,23,58,0.397,21,25,0.84,10,22,32,3.2,9,0,23,14,1,5,114,11.4
3,"PETRUSEV, Filip",3,2,72,24,13,24,0.541,0,0,0,8,12,0.667,7,16,23,7.7,3,0,9,2,1,0,34,11.3
22,"DOWNS, Micah",6,2,152,25.3,22,55,0.4,11,25,0.44,13,21,0.619,14,24,38,6.3,12,0,6,5,4,2,68,11.3
31,"CALVARY, Casey",12,9,299,24.9,56,91,0.615,3,15,0.2,21,48,0.438,17,51,68,5.7,27,0,14,20,16,8,136,11.3
